"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0	1.715	0.367
0.979	1.795	0.309
0.464	1.967	0.324
5.219	1.749	0.74
1.013	1.42	1.068
0	1.921	1.111
2.798	1.567	1.054
0.017	1.995	0.973
0.395	1.148	0.822
0.446	1.158	0.651
0.601	1.071	0.532
1.167	0.966	0.503
2.627	1.278	0.668
0.103	1.676	0.772
0	1.561	0.708
0.034	1.491	0.546
0.052	1.51	0.404
0	2.205	0.312
0	1.813	0.255
0.034	1.884	0.218
0	1.759	0.195
0	1.418	0.177
2.197	1.221	0.287
0.79	0.927	0.424
0.704	1.278	0.491
3.159	1.47	0.668
0.292	1.298	0.778
0	1.443	0.722
0.034	1.464	0.548
0.24	1.65	0.393
0.052	1.17	0.302
2.592	1.693	0.371
0.017	2.057	0.489
0	1.109	0.483
0	1.414	0.379
0	0.7	0.277
0	0.803	0.209
0	1.069	0.168
0.601	1.253	0.154
0.137	1.231	0.177
1.837	1.58	0.241
0	1.29	0.329
0.549	1.313	0.33
0.052	1.567	0.289
0.017	1.746	0.229
0.086	1.211	0.172
0.223	1.012	0.139
0.172	0.854	0.13
0.481	1.213	0.134
0.24	1.296	0.151
0	1.02	0.154
0.017	1.824	0.13
0	0.533	0.101
0.154	1.023	0.083
0	1.112	0.079
0.069	1.431	0.074
0	1.15	0.069
0.052	1.686	0.063
0.36	1.485	0.065
0.532	1.329	0.09
0.017	1.102	0.122
0	1.443	0.116
0	1.226	0.088
0	1.145	0.064
0.326	1.265	0.054
0.464	1.122	0.073
0.172	1.345	0.103
0.807	1.227	0.121
0	1.166	0.148
0	1.555	0.134
0	1.082	0.094
1.425	1.221	0.105
0.326	1.421	0.176
0	1.401	0.203
0	1.179	0.161
0.017	1.38	0.106
0	1.336	0.068
0.189	1.617	0.05
0.189	0.502	0.053
0	1.516	0.061
0.017	1.555	0.055
0	1.456	0.043
0.326	1.511	0.038
0.79	1.666	0.063
0.292	1.009	0.116
1.596	1.542	0.169
0.034	1.483	0.238
0.258	1.542	0.226
0	1.782	0.171
0	1.317	0.112
0.12	0.702	0.069
2.215	0.908	0.176
0.069	1.015	0.301
0	1.441	0.315
0.12	1.296	0.238
0.052	1.455	0.164
0.36	0.603	0.12
2.249	1.599	0.194
6.918	1.269	0.831
1.167	1.325	1.332
0.223	1.625	1.376
0	1.24	1.057
0.223	1.36	0.704
0.567	1.724	0.476
0.137	1.801	0.368
0.017	1.354	0.298
2.043	1.294	0.32
0.343	1.356	0.396
2.317	1.692	0.488
0.034	2.109	0.545
0	1.674	0.48
0	1.488	0.346
0	1.682	0.234
0	1.604	0.163
0.052	1.346	0.125
0	1.89	0.106
0	1.944	0.093
0	1.948	0.082
0.034	2.346	0.074
0	1.725	0.069
0	1.988	0.065
0.875	1.872	0.073
3.107	2.015	0.244
7.364	1.848	0.932
1.408	1.502	1.505
3.021	1.515	1.704
2.918	1.731	1.677
0.326	2.13	1.489
1.425	1.623	1.185
2.111	1.362	1.016
0	2.424	0.901
0	1.947	0.722
0	2.063	0.521
0.979	1.758	0.386
6.42	2.069	0.744
0.498	2.259	1.124
0.481	2.384	1.158
0	2.725	0.917
0.652	1.589	0.652
1.064	1.894	0.505
5.373	2.135	0.745
4.137	2.073	1.248
0.343	1.864	1.472
1.322	2.026	1.303
0.36	2.184	1.022
1.717	1.807	0.788
0.017	2.812	0.67
0	2.36	0.539
0.154	2.515	0.4
0.704	2.197	0.315
1.802	2.46	0.322
0	2.674	0.397
0.017	2.331	0.374
0.052	3.395	0.287
0.309	2.617	0.217
0.24	3.236	0.19
5.699	2.323	0.466
0.567	3.269	0.803
0.069	3.176	0.868
8.309	2.545	1.143
1.734	2.513	1.493
0.069	2.478	1.525
1.494	2.074	1.201
0.034	3.203	0.899
4.206	3.097	0.785
0.481	3.437	0.847
0	3.129	0.794
0	3.449	0.6
0.395	3.074	0.419
0.395	2.865	0.324
1.15	1.866	0.3
0.481	2.044	0.332
0.12	2.978	0.332
0.635	3.648	0.291
2.009	2.806	0.294
1.7	3.245	0.397
2.18	3.625	0.511
6.85	3.055	0.878
0.635	3.484	1.21
5.236	3.141	1.371
0.172	3.587	1.358
0.618	3.105	1.121
0.069	3.414	0.801
1.991	3.265	0.565
1.099	3.189	0.519
1.27	3.019	0.524
0	3.524	0.501
0.618	3.426	0.408
0	4.078	0.323
0.172	4.054	0.246
0.601	3.395	0.198
9.064	3.485	0.589
2.146	2.384	1.169
5.716	3.203	1.606
0	4.073	1.657
0	4.367	1.333
1.133	4.179	0.902
3.296	3.507	0.687
0.927	3.393	0.717
2.3	3.386	0.719
2.129	4.059	0.726
3.399	3.18	0.785
1.064	3.274	0.854
2.884	2.973	0.823
0.223	3.696	0.782
0.464	3.69	0.634
1.7	4.104	0.479
1.562	4.077	0.451
3.828	3.287	0.549
1.116	3.515	0.708
5.184	3.009	0.871
7.124	3.673	1.281
5.734	3.863	1.803
0.875	4.198	1.951
0.309	4.294	1.617
0.275	3.729	1.106
0	4.49	0.7
2.146	4.322	0.473
0.017	4.687	0.451
0.618	4.267	0.409
38.762	4.131	2.777
17.699	3.702	9.523
5.716	3.969	13.304
0.979	4.457	12.087
1.356	3.913	8.78
2.197	3.822	5.889
1.013	3.454	4.076
0.841	3.943	3.002
2.335	3.978	2.359
5.425	3.462	2.406
1.511	3.738	2.46
2.077	3.724	2.307
0.223	3.783	2.011
0.618	4.411	1.643
0.669	4.509	1.334
0.223	5.272	1.123
0	4.878	0.955
5.013	3.723	1.045
2.009	3.932	1.274
1.373	3.883	1.382
7.673	3.708	1.815
2.644	3.762	2.129
0.807	4.478	2.122
9.922	3.537	2.581
1.15	3.784	2.87
4.566	3.89	2.854
3.828	3.981	2.613
1.957	3.663	2.345
2.867	3.576	2.026
7.622	3.806	2.284
6.369	3.146	2.957
2.386	3.115	3.159
2.129	3.521	2.857
1.081	3.589	2.34
5.304	3.765	2.109
9.373	3.952	2.809
2.695	4.029	3.262
7.038	3.77	3.663
1.94	3.938	3.515
0.292	3.878	3.009
2.678	4.144	2.351
3.159	3.84	1.946
0.738	4.506	1.761
2.987	4.164	1.561
5.631	4.406	1.674
1.991	4.418	1.828
0.584	3.642	1.752
3.073	4.03	1.487
11.244	4.21	2.217
1.923	4.209	2.844
3.811	3.253	2.962
1.013	3.76	2.595
5.614	3.056	2.435
7.073	3.37	2.825
0.824	3.607	2.967
4.378	3.299	2.837
1.202	3.452	2.504
6.729	3.255	2.593
1.236	3.535	2.588
3.708	3.299	2.455
2.266	3.069	2.216
5.39	3.458	2.262
7.519	3.702	2.822
1.064	3.62	3.039
5.579	4.017	3.028
3.262	4.108	2.801
17.853	3.368	4.637
5.493	3.052	6.738
3.124	3.545	6.945
1.476	3.631	5.809
2.335	2.57	4.425
5.373	2.519	4.003
2.438	2.725	3.652
5.304	2.855	3.835
4.515	3.575	3.959
1.27	3.754	3.727
2.489	2.568	3.25
18.506	2.879	6.265
0.275	3.876	8.45
0.017	3.245	8.191
0.635	3.268	6.419
1.751	2.798	4.761
3.983	3.009	4.036
0.635	3.272	3.578
0.429	3.691	3.104
0.893	3.648	2.612
2.369	3.248	2.257
10.369	3.372	3.79
1.322	3.596	4.574
4.91	2.938	4.992
3.227	2.331	4.87
1.15	2.651	4.32
4.635	3.342	4.029
0.481	3.54	3.634
0.137	2.916	3.116
0.824	2.471	2.561
3.176	2.861	2.299
0.979	3.179	2.187
2.249	2.789	2.055
6.558	3.03	2.773
1.459	2.565	3.072
0.412	2.411	2.913
1.579	2.599	2.458
4.24	2.882	2.436
5.236	2.853	2.997
0.996	2.97	3.142
1.391	2.476	2.868
4.601	2.616	2.928
1.682	3.066	2.824
0.086	3.279	2.564
3.674	2.279	2.492
0	2.564	2.325
3.107	2.741	2.19
1.665	2.395	2.057
2.918	2.47	2.061
1.579	2.322	1.989
2.678	2.471	1.934
2.644	2.035	1.994
0.034	2.666	1.903
0.034	2.105	1.628
0.103	2.48	1.312
0.24	2.186	1.075
0.36	2.652	0.932
0.429	2.301	0.854
0.343	2.737	0.807
1.167	2.571	0.777
2.197	2.135	0.847
0.258	2.27	0.931
